[18:46:39.196|INFO ] insulae.EntryPoint                      : Starting application
[18:46:39.920|INFO ] insulae.WarExtractor                    : Extracted insulae-web-1.0.0-SNAPSHOT.war from CodeSource.
[18:46:39.976|INFO ] mortbay.log                             : Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
[18:46:39.977|INFO ] mortbay.log                             : jetty-6.1.x
[18:46:40.378|INFO ] mortbay.log                             : Extract d:\Utvecklingsprojekt\insulae\insulae-deployable\insulae-web-1.0.0-SNAPSHOT.war to C:\Users\Daniel\AppData\Local\Temp\Jetty_0_0_0_0_80_insulae.web.1.0.0.SNAPSHOT.war____m0ez1e\webapp
[18:46:40.757|INFO ] mortbay.log                             : NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
[18:46:41.074|INFO ] mortbay.log                             : Started SocketConnector@0.0.0.0:80
[18:46:41.231|INFO ] jetty.JettyContainer                    : Jetty server is online.
[18:47:13.123|INFO ] jetty.JettyContainer                    : Waiting for server shutdown...
[18:47:13.336|INFO ] mortbay.log                             : Stopped SocketConnector@0.0.0.0:80
[18:47:13.373|INFO ] jetty.JettyContainer                    : Waiting for server shutdown...
[18:47:13.623|INFO ] jetty.JettyContainer                    : Server is offline, exiting.
[18:47:14.306|INFO ] insulae.WarExtractor                    : Extracted insulae-web-1.0.0-SNAPSHOT.war from CodeSource.
[18:47:14.306|INFO ] mortbay.log                             : jetty-6.1.x
[18:47:14.308|INFO ] mortbay.log                             : Extract d:\Utvecklingsprojekt\insulae\insulae-deployable\insulae-web-1.0.0-SNAPSHOT.war to C:\Users\Daniel\AppData\Local\Temp\Jetty_0_0_0_0_8080_insulae.web.1.0.0.SNAPSHOT.war____.9c7uqu\webapp
[18:47:14.555|INFO ] mortbay.log                             : NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
[18:47:14.584|INFO ] mortbay.log                             : Started SocketConnector@0.0.0.0:8080
[18:47:14.806|INFO ] jetty.JettyContainer                    : Jetty server is online.
[18:48:43.707|INFO ] jetty.JettyContainer                    : Waiting for server shutdown...
[18:48:43.864|INFO ] mortbay.log                             : Stopped SocketConnector@0.0.0.0:8080
[18:48:43.957|INFO ] jetty.JettyContainer                    : Waiting for server shutdown...
[18:48:44.207|INFO ] jetty.JettyContainer                    : Server is offline, exiting.
[18:50:43.629|INFO ] insulae.EntryPoint                      : Starting application
[18:50:44.317|INFO ] insulae.WarExtractor                    : Extracted insulae-web-1.0.0-SNAPSHOT.war from CodeSource.
[18:50:44.352|INFO ] mortbay.log                             : Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog
[18:50:44.353|INFO ] mortbay.log                             : jetty-6.1.x
[18:50:44.390|INFO ] mortbay.log                             : Extract d:\Utvecklingsprojekt\insulae\insulae-deployable\insulae-web-1.0.0-SNAPSHOT.war to C:\Users\Daniel\AppData\Local\Temp\Jetty_0_0_0_0_80_insulae.web.1.0.0.SNAPSHOT.war____m0ez1e\webapp
[18:50:44.660|INFO ] mortbay.log                             : NO JSP Support for /, did not find org.apache.jasper.servlet.JspServlet
[18:50:44.738|INFO ] mortbay.log                             : Started SocketConnector@0.0.0.0:80
[18:50:44.853|INFO ] jetty.JettyContainer                    : Jetty server is online.
[18:51:41.084|INFO ] jetty.JettyContainer                    : Waiting for server shutdown...
[18:51:41.252|INFO ] mortbay.log                             : Stopped SocketConnector@0.0.0.0:80
[18:51:41.335|INFO ] jetty.JettyContainer                    : Waiting for server shutdown...
[18:51:41.585|INFO ] jetty.JettyContainer                    : Server is offline, exiting.
[18:51:42.251|INFO ] insulae.WarExtractor                    : Extracted insulae-web-1.0.0-SNAPSHOT.war from CodeSource.
[18:51:42.251|INFO ] mortbay.log                             : jetty-6.1.x
